airbnb_neighbourhood_group,airbnb_neighbourhood,airbnb_lat,airbnb_long
Manhattan,Kips Bay,40.73961,-73.98074
Brooklyn,Williamsburg,40.70881,-73.9593
Manhattan,Lower East Side,40.72004,-73.99104
Manhattan,Hell's Kitchen,40.75531,-73.99293
Brooklyn,Greenpoint,40.72401,-73.93788
Manhattan,SoHo,40.7221,-73.99775
Brooklyn,Williamsburg,40.71185,-73.96204
Manhattan,Chelsea,40.74623,-73.9953
Manhattan,Upper East Side,40.77065,-73.95269
Brooklyn,Prospect Heights,40.67811,-73.96428
Brooklyn,Clinton Hill,40.69,-73.96788
Manhattan,Hell's Kitchen,40.75979,-73.99119
Brooklyn,Park Slope,40.67343,-73.98338
Manhattan,East Village,40.72649,-73.97904
Brooklyn,Williamsburg,40.70933,-73.96792
Manhattan,East Village,40.72298,-73.98474
Manhattan,East Harlem,40.80164,-73.93922
Manhattan,East Village,40.72162,-73.98008
Manhattan,Hell's Kitchen,40.76342,-73.98865
,Washington Heights,40.83139,-73.94095
,Clinton Hill,40.68346,-73.96374
,East Village,40.72828,-73.98801
,Upper East Side,40.76865,-73.95058
,Woodside,40.75038,-73.90334
Brooklyn,Fort Greene,40.6932,-73.97267
Manhattan,Chelsea,40.74138,-74.00197
Brooklyn,Williamsburg,40.71154,-73.96112
Manhattan,Harlem,40.82915,-73.95136
Manhattan,Lower East Side,40.71851,-73.98892
Brooklyn,Flatbush,40.65401,-73.96323
Manhattan,Lower East Side,40.7114,-73.98794
Brooklyn,Brooklyn Heights,40.69723,-73.99268
Brooklyn,Williamsburg,40.71833,-73.95748
Manhattan,East Village,40.72334,-73.9844
Manhattan,East Village,40.72912,-73.98057
,Williamsburg,40.71156,-73.96218
,Bushwick,40.70032,-73.9383
,Prospect Heights,40.68233,-73.97261
Brooklyn,Clinton Hill,40.68634,-73.966
Brooklyn,Prospect Heights,40.68035,-73.97162
Brooklyn,Williamsburg,40.70984,-73.95775
Brooklyn,Bushwick,40.70093,-73.92609
Manhattan,Upper West Side,40.79764,-73.96177
Manhattan,Harlem,40.82803,-73.94731
Manhattan,Chelsea,40.74008,-74.00271
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357
Manhattan,Harlem,40.82279,-73.95139
Brooklyn,Carroll Gardens,40.67967,-74.00154
Manhattan,Washington Heights,40.83927,-73.94281
Manhattan,West Village,40.73096,-74.00319
Brooklyn,Williamsburg,40.71332,-73.94177
Brooklyn,Park Slope,40.66941,-73.98109
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377
Brooklyn,Williamsburg,40.71459,-73.94844
Manhattan,Harlem,40.8092,-73.94421
Brooklyn,Gowanus,40.68157,-73.98989
Manhattan,Hell's Kitchen,40.75527,-73.99291
Brooklyn,Clinton Hill,40.68698,-73.96572
Manhattan,East Village,40.7288,-73.98192
Brooklyn,South Slope,40.66853,-73.98912
Manhattan,East Village,40.7254,-73.98157
Manhattan,Kips Bay,40.74294,-73.98009
Brooklyn,Williamsburg,40.71942,-73.95748
Manhattan,Upper West Side,40.77823,-73.97637
Manhattan,East Village,40.72555,-73.97965
Brooklyn,South Slope,40.66831,-73.98604
Manhattan,Harlem,40.82754,-73.94919
Brooklyn,South Slope,40.66499,-73.97925
Manhattan,Upper West Side,40.77842,-73.97556
Manhattan,East Village,40.72245,-73.98527
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053
Brooklyn,Williamsburg,40.71923,-73.96468
Manhattan,Upper East Side,40.778,-73.94822
Manhattan,Washington Heights,40.85879,-73.93128
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547
Manhattan,Harlem,40.81618,-73.94894
Brooklyn,Clinton Hill,40.68414,-73.96351
Manhattan,East Village,40.72392,-73.99143
Brooklyn,Greenpoint,40.73494,-73.9503
Manhattan,Lower East Side,40.71341,-73.98856
Manhattan,Hell's Kitchen,40.76754,-73.98399
Manhattan,West Village,40.73442,-74.00303
Brooklyn,Flatlands,40.63188,-73.93248
Brooklyn,Clinton Hill,40.6873,-73.9634
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662
Brooklyn,Clinton Hill,40.6863,-73.96765
Brooklyn,Greenpoint,40.73409,-73.95348
Brooklyn,Williamsburg,40.71561,-73.94835
Brooklyn,Cobble Hill,40.6857,-73.99183
Queens,Flushing,40.74028,-73.83168
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524
Brooklyn,Williamsburg,40.71596,-73.93938
Brooklyn,Williamsburg,40.71492,-73.95935
,East Village,40.72354,-73.98295
Brooklyn,Williamsburg,40.71165,-73.96087
Brooklyn,Fort Greene,40.69101,-73.97312
Manhattan,West Village,40.73474,-74.00101
Brooklyn,Prospect Heights,40.67386,-73.96641
Brooklyn,Williamsburg,40.71536,-73.96057
Brooklyn,Prospect Heights,40.6741,-73.96595
Manhattan,East Harlem,40.79295,-73.93997
Manhattan,West Village,40.73226,-74.00401
Brooklyn,Williamsburg,40.71363,-73.96398
Manhattan,Upper East Side,40.77711,-73.9527
Brooklyn,Boerum Hill,40.68559,-73.98094
Manhattan,Upper East Side,40.77456,-73.95323
,Williamsburg,40.71088,-73.95055
Queens,Sunnyside,40.74559,-73.92313
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659
Brooklyn,DUMBO,40.70207,-73.98571
Manhattan,Upper East Side,40.76123,-73.9642
Brooklyn,Gowanus,40.66858,-73.99083
Manhattan,Harlem,40.82704,-73.94907
,Clinton Hill,40.68843,-73.96408
Brooklyn,Carroll Gardens,40.6783,-74.00135
Staten Island,St. George,40.64524,-74.08088
Brooklyn,Bushwick,40.70641,-73.91765
Bronx,Highbridge,40.83232,-73.93184
Brooklyn,Williamsburg,40.71045,-73.9677
Manhattan,East Village,40.72518,-73.98034
Manhattan,Financial District,40.70666,-74.01374
Brooklyn,Fort Greene,40.69098,-73.97113
Manhattan,West Village,40.73756,-74.00405
Manhattan,Harlem,40.81526,-73.94791
Manhattan,West Village,40.73423,-74.0046
Manhattan,Harlem,40.82374,-73.9373
Brooklyn,Fort Greene,40.68863,-73.97691
Queens,Ridgewood,40.70382,-73.89797
Manhattan,Morningside Heights,40.80549,-73.95924
Brooklyn,Williamsburg,40.71627,-73.9587
Brooklyn,Park Slope,40.67994,-73.97863
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475
Brooklyn,Prospect Heights,40.67868,-73.97307
Manhattan,Upper East Side,40.76834,-73.95334
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415
Manhattan,Chelsea,40.74031,-73.99999
Manhattan,Hell's Kitchen,40.76307,-73.99665
Manhattan,Lower East Side,40.71882,-73.98852
Brooklyn,South Slope,40.6693,-73.98804
Manhattan,Upper East Side,40.77333,-73.95199
Manhattan,Lower East Side,40.72319,-73.99201
,Chelsea,40.74859,-73.99671
Queens,Jamaica,40.67252,-73.76597
Manhattan,Hell's Kitchen,40.76244,-73.99271
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503
Queens,Middle Village,40.71722,-73.87856
Queens,Ridgewood,40.70234,-73.89816
Queens,Middle Village,40.71546,-73.87854
Brooklyn,Williamsburg,40.7195,-73.95976
Manhattan,Hell's Kitchen,40.76548,-73.98474
Manhattan,Harlem,40.80234,-73.95603
,Prospect Heights,40.6787,-73.97262
Manhattan,Harlem,40.81035,-73.94598
Bronx,Highbridge,40.83075,-73.93058
Manhattan,East Harlem,40.79958,-73.94275
Brooklyn,Williamsburg,40.71625,-73.93845
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549
Manhattan,NoHo,40.72773,-73.99134
Manhattan,West Village,40.72861,-74.0049
Brooklyn,Williamsburg,40.70979,-73.95162
Brooklyn,Fort Greene,40.68656,-73.97525
Manhattan,East Village,40.72752,-73.98432
Brooklyn,Greenpoint,40.729,-73.95829
Manhattan,Harlem,40.81219,-73.94499
Queens,Ditmars Steinway,40.77185,-73.90502
Brooklyn,Cobble Hill,40.68926,-73.99386
Manhattan,East Village,40.72821,-73.98701
Manhattan,Hell's Kitchen,40.7672,-73.98508
Manhattan,East Village,40.73012,-73.99053
Manhattan,Flatiron District,40.7403,-73.98498
Manhattan,Harlem,40.80931,-73.94343
Manhattan,Harlem,40.8251,-73.94287
Brooklyn,Windsor Terrace,40.6585,-73.98397
Manhattan,Roosevelt Island,40.76193,-73.9501
Manhattan,Lower East Side,40.72052,-73.98589
Queens,Ridgewood,40.70411,-73.89934
Brooklyn,Greenpoint,40.73401,-73.95967
Manhattan,Chinatown,40.71756,-73.99503
Manhattan,Midtown,40.7589,-73.96991
Manhattan,SoHo,40.72003,-74.00262
Manhattan,Greenwich Village,40.73194,-73.99474
Manhattan,East Harlem,40.79163,-73.94573
Manhattan,Harlem,40.8118,-73.94434
Manhattan,Harlem,40.81583,-73.94707
Manhattan,East Village,40.72654,-73.98049
Manhattan,Upper West Side,40.80021,-73.96071
,East Harlem,40.80942,-73.93936
Manhattan,Little Italy,40.71961,-73.9954
Manhattan,Chelsea,40.74358,-74.00027
Manhattan,Harlem,40.80335,-73.9575
Manhattan,Chinatown,40.71445,-73.9908
Manhattan,Midtown,40.75749,-73.96897
Brooklyn,East Flatbush,40.64446,-73.9503
Manhattan,East Village,40.7268,-73.99079
,Bushwick,40.688,-73.9171
Staten Island,Tompkinsville,40.63536,-74.08537
Staten Island,Tompkinsville,40.63627,-74.08543
Staten Island,Tompkinsville,40.63518,-74.08546
Manhattan,East Village,40.72477,-73.98161
Manhattan,Chelsea,40.74238,-73.99567
Brooklyn,Greenpoint,40.72945,-73.95511
Brooklyn,Williamsburg,40.70763,-73.95177
Staten Island,Tompkinsville,40.63481,-74.08519
Queens,Astoria,40.75384,-73.91433
Brooklyn,Kensington,40.64106,-73.97426
Brooklyn,Park Slope,40.66793,-73.98327
Bronx,Clason Point,40.81309,-73.85514
,Eastchester,40.88057,-73.83572
Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314
Manhattan,East Village,40.72185,-73.98246
Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385
Manhattan,Inwood,40.86648,-73.9263
Brooklyn,Williamsburg,40.7069,-73.95467
Manhattan,East Village,40.72807,-73.98594
Brooklyn,Crown Heights,40.6778,-73.94339
Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701
Brooklyn,Crown Heights,40.6761,-73.9529
Brooklyn,Crown Heights,40.67586,-73.95155
Manhattan,Little Italy,40.71702,-73.99811
Manhattan,East Village,40.72321,-73.98157
Manhattan,Upper West Side,40.77956,-73.98098
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264
Brooklyn,Williamsburg,40.71368,-73.9626
Manhattan,East Village,40.72956,-73.98158
Brooklyn,Williamsburg,40.71069,-73.95175
Brooklyn,Williamsburg,40.70863,-73.94641
Manhattan,Harlem,40.82888,-73.94307
Brooklyn,Park Slope,40.67319,-73.97323
Brooklyn,Carroll Gardens,40.67846,-73.99443
Brooklyn,Crown Heights,40.6715,-73.94808
Manhattan,East Village,40.72681,-73.98534
Manhattan,Lower East Side,40.71904,-73.99392
,Williamsburg,40.71031,-73.9583
Manhattan,Harlem,40.81322,-73.95306
Brooklyn,Park Slope,40.67732,-73.98225
Brooklyn,Gowanus,40.68076,-73.9896
Manhattan,East Harlem,40.79603,-73.94903
Brooklyn,Williamsburg,40.71492,-73.96282
Manhattan,Morningside Heights,40.80393,-73.95838
Manhattan,Upper West Side,40.80082,-73.9652
,Harlem,40.82976,-73.94867
Brooklyn,Bedford-Stuyvesant,40.683,-73.91981
Manhattan,Upper West Side,40.78971,-73.9729
Brooklyn,Carroll Gardens,40.67817,-73.99495
Brooklyn,Greenpoint,40.73119,-73.95578
Manhattan,Little Italy,40.71943,-73.99627
Manhattan,Upper West Side,40.78,-73.98249
Brooklyn,Bushwick,40.70514,-73.91922
Manhattan,Inwood,40.86713,-73.92811
Manhattan,East Village,40.73198,-73.98881
Manhattan,East Village,40.72542,-73.97986
Manhattan,Washington Heights,40.83494,-73.93869
,Chinatown,40.71659,-73.98945
Manhattan,West Village,40.72966,-74.00243
Brooklyn,Greenpoint,40.72898,-73.95552
Bronx,Kingsbridge,40.87207,-73.90193
Manhattan,Upper West Side,40.77728,-73.97818
Brooklyn,Greenpoint,40.72646,-73.95341
Brooklyn,Williamsburg,40.71015,-73.96101
Brooklyn,Williamsburg,40.71903,-73.9597
Manhattan,East Harlem,40.80892,-73.93985
Manhattan,Harlem,40.80276,-73.9567
Queens,Astoria,40.77635,-73.93426
Brooklyn,Greenpoint,40.72488,-73.95018
,Williamsburg,40.71398,-73.95763
Manhattan,Lower East Side,40.71876,-73.98394
Brooklyn,South Slope,40.66552,-73.99019
Brooklyn,Greenpoint,40.73749,-73.95292
Manhattan,Hell's Kitchen,40.76248,-73.9913
Brooklyn,Boerum Hill,40.68674,-73.98876
Brooklyn,Clinton Hill,40.6848,-73.96219
Brooklyn,Williamsburg,40.70516,-73.95455
Manhattan,East Village,40.72329,-73.98486
Brooklyn,Greenpoint,40.73776,-73.95327
Brooklyn,Greenpoint,40.73738,-73.95482
Brooklyn,Park Slope,40.67542,-73.98142
Brooklyn,Greenpoint,40.73842,-73.95312
Brooklyn,Brooklyn Heights,40.6926,-73.99832
Brooklyn,Brooklyn Heights,40.69441,-73.99771
Manhattan,East Village,40.72399,-73.98374
Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615
Brooklyn,Bushwick,40.68949,-73.91708
Brooklyn,Fort Greene,40.68819,-73.97258
Brooklyn,Williamsburg,40.7205,-73.96015
Manhattan,East Village,40.72451,-73.98094
Brooklyn,Greenpoint,40.73813,-73.95394
Brooklyn,Crown Heights,40.67591,-73.94715
Manhattan,East Village,40.72843,-73.98895
Manhattan,Two Bridges,40.71271,-73.99776
Brooklyn,Crown Heights,40.66966,-73.94735
Manhattan,Lower East Side,40.71965,-73.98766
Brooklyn,Clinton Hill,40.68613,-73.96536
Brooklyn,Bedford-Stuyvesant,40.68048,-73.94911
Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963
Queens,Astoria,40.75961,-73.91117
Brooklyn,Crown Heights,40.67473,-73.94494
Brooklyn,Bedford-Stuyvesant,40.69305,-73.93185
Brooklyn,Crown Heights,40.67174,-73.95663
Brooklyn,Williamsburg,40.71055,-73.95098
Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458
Brooklyn,Clinton Hill,40.68413,-73.96542
Manhattan,Kips Bay,40.73877,-73.97707
Manhattan,Chelsea,40.74893,-73.99544
Manhattan,East Harlem,40.79406,-73.94102
Brooklyn,Fort Greene,40.68795,-73.97332
Manhattan,Washington Heights,40.85295,-73.93361
,Queens Village,40.72413,-73.76133
Brooklyn,Gowanus,40.66918,-73.99187
Brooklyn,Williamsburg,40.71125,-73.95613
Manhattan,Upper West Side,40.78558,-73.9696
Brooklyn,Williamsburg,40.71577,-73.96053
Brooklyn,Greenpoint,40.73861,-73.95485
Manhattan,East Village,40.72577,-73.98745
Queens,Rockaway Beach,40.58615,-73.81245
Brooklyn,Crown Heights,40.67086,-73.94872
Manhattan,Harlem,40.82773,-73.95231
Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684
Brooklyn,Greenpoint,40.72911,-73.95493
Manhattan,Upper West Side,40.77944,-73.98567
Manhattan,Midtown,40.74503,-73.98876
Brooklyn,Crown Heights,40.67539,-73.96093
Manhattan,Harlem,40.8054,-73.95189
Manhattan,Upper East Side,40.78491,-73.9508
Brooklyn,Fort Greene,40.69088,-73.97307
Brooklyn,Crown Heights,40.67555,-73.95057
Manhattan,Hell's Kitchen,40.75835,-73.99193
Brooklyn,South Slope,40.66527,-73.9886
Manhattan,Lower East Side,40.71895,-73.99434
Manhattan,Midtown,40.75579,-73.96699
,Harlem,40.82399,-73.95328
Manhattan,Harlem,40.81822,-73.94095
Queens,Astoria,40.76434,-73.92132
Brooklyn,Crown Heights,40.67705,-73.94925
Brooklyn,Brooklyn Heights,40.69263,-73.99438
Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747
Manhattan,Chelsea,40.74412,-74.00208
Manhattan,East Village,40.73067,-73.98702
Brooklyn,Williamsburg,40.70665,-73.94061
Brooklyn,Williamsburg,40.72063,-73.95952
Brooklyn,Park Slope,40.67644,-73.98082
Manhattan,Harlem,40.80481,-73.94794
Manhattan,East Village,40.72533,-73.99143
Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038
Brooklyn,Kensington,40.64302,-73.97255
Manhattan,East Village,40.72939,-73.98857
Manhattan,Upper West Side,40.79918,-73.96607
Brooklyn,Gowanus,40.66862,-73.9926
Manhattan,Harlem,40.81333,-73.94453
Brooklyn,Greenpoint,40.72473,-73.95199
Queens,Forest Hills,40.70925,-73.85262
Manhattan,West Village,40.73215,-74.00922
Brooklyn,Williamsburg,40.71109,-73.94332
Manhattan,Murray Hill,40.7463,-73.97926
Brooklyn,Williamsburg,40.71823,-73.95849
Brooklyn,East Flatbush,40.651,-73.94886
Brooklyn,Fort Greene,40.68626,-73.97598
Manhattan,Chelsea,40.74488,-74.001
Brooklyn,Park Slope,40.67632,-73.97616
Brooklyn,Greenpoint,40.72212,-73.94254
Brooklyn,Crown Heights,40.67456,-73.95151
,Williamsburg,40.71363,-73.96019
Brooklyn,Crown Heights,40.6755,-73.95878
Manhattan,East Village,40.72274,-73.97581
Brooklyn,Boerum Hill,40.6858,-73.9828
Brooklyn,Park Slope,40.67535,-73.97654
Manhattan,Nolita,40.72255,-73.99346
Manhattan,Nolita,40.72094,-73.99706
Manhattan,East Village,40.72485,-73.97813
Manhattan,Harlem,40.80473,-73.9532
Manhattan,East Village,40.72217,-73.98419
Brooklyn,Williamsburg,40.71943,-73.9565
Manhattan,Chelsea,40.74249,-74.00329
Manhattan,Upper West Side,40.79264,-73.97294
Brooklyn,Windsor Terrace,40.65749,-73.97675
Manhattan,Harlem,40.80474,-73.94688
Manhattan,Greenwich Village,40.72831,-74.00177
Brooklyn,Williamsburg,40.71541,-73.94144
Manhattan,Upper West Side,40.79765,-73.96245
Manhattan,Upper East Side,40.78508,-73.95332
Bronx,Woodlawn,40.89747,-73.8639
Manhattan,Lower East Side,40.72008,-73.98404
Queens,Astoria,40.75725,-73.91098
Brooklyn,Williamsburg,40.7102,-73.94495
Brooklyn,Park Slope,40.67359,-73.97904
Manhattan,East Village,40.72674,-73.9782
Manhattan,Harlem,40.81156,-73.94571
Manhattan,Harlem,40.80497,-73.95016
Queens,Sunnyside,40.7385,-73.91806
Brooklyn,Greenpoint,40.72937,-73.95671
Manhattan,East Village,40.72587,-73.98438
Manhattan,Harlem,40.82426,-73.9463
Brooklyn,Williamsburg,40.71624,-73.96272
Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081
,Bedford-Stuyvesant,40.68669,-73.91989
Brooklyn,Williamsburg,40.71534,-73.95914
Brooklyn,Clinton Hill,40.68288,-73.96024
Brooklyn,Greenpoint,40.72489,-73.95494
Brooklyn,Williamsburg,40.70867,-73.94284
Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908
Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908
Manhattan,Chelsea,40.74346,-73.99882
Manhattan,Upper West Side,40.77724,-73.98109
Manhattan,East Village,40.72972,-73.97995
Queens,Sunnyside,40.74102,-73.91681
Brooklyn,Williamsburg,40.71309,-73.94128
Manhattan,Harlem,40.83096,-73.94633
Brooklyn,Williamsburg,40.71323,-73.95745
Brooklyn,Crown Heights,40.67212,-73.9506
Brooklyn,Williamsburg,40.71023,-73.96665
Manhattan,Harlem,40.80523,-73.95139
,East Village,40.72636,-73.98917
Brooklyn,Greenpoint,40.72185,-73.93956
Manhattan,SoHo,40.72351,-73.99683
Brooklyn,Carroll Gardens,40.6809,-73.99233
Manhattan,Morningside Heights,40.80525,-73.95916
Queens,Sunnyside,40.74,-73.91901
Manhattan,Upper West Side,40.80006,-73.96049
Brooklyn,Bushwick,40.70283,-73.92131
Manhattan,Washington Heights,40.84468,-73.94303
Brooklyn,Carroll Gardens,40.68252,-73.99619
Manhattan,Chelsea,40.74342,-73.99483
Brooklyn,Park Slope,40.67853,-73.98089
Brooklyn,Park Slope,40.6788,-73.97643
Manhattan,Upper West Side,40.77886,-73.98042
Manhattan,East Village,40.72578,-73.97879
Brooklyn,South Slope,40.66085,-73.98537
Manhattan,East Harlem,40.80113,-73.94503
Manhattan,Upper West Side,40.78569,-73.97581
Manhattan,Harlem,40.82411,-73.94934
Brooklyn,Bedford-Stuyvesant,40.68131,-73.95332
Bronx,University Heights,40.85811,-73.90675
Brooklyn,Williamsburg,40.70667,-73.96524
Brooklyn,Gravesend,40.60452,-73.97103
,East Harlem,40.7932,-73.94007
Brooklyn,Fort Greene,40.68768,-73.97611
Manhattan,Harlem,40.80224,-73.94558
Manhattan,Lower East Side,40.71473,-73.98842
,Harlem,40.80518,-73.95359
Manhattan,Harlem,40.80827,-73.95329
Brooklyn,Greenpoint,40.72901,-73.95812
Manhattan,Gramercy,40.73476,-73.98452
Brooklyn,Bushwick,40.69055,-73.92357
Manhattan,Upper West Side,40.7735,-73.98697
Brooklyn,Crown Heights,40.67505,-73.95969
Manhattan,East Village,40.72974,-73.98201
Brooklyn,Williamsburg,40.70925,-73.95425
Brooklyn,Greenpoint,40.72315,-73.95226
Manhattan,Chelsea,40.73939,-73.99612
Manhattan,Kips Bay,40.74112,-73.97686
Manhattan,Lower East Side,40.72019,-73.98217
Manhattan,Nolita,40.72133,-73.99666
Queens,Astoria,40.75744,-73.92163
Queens,Astoria,40.75695,-73.9202
Manhattan,Harlem,40.8296,-73.94651
Manhattan,East Harlem,40.79056,-73.9468
Manhattan,West Village,40.73631,-73.99977
Bronx,Allerton,40.86466,-73.85709
Brooklyn,Williamsburg,40.71312,-73.96199
Brooklyn,Williamsburg,40.71297,-73.94336
Manhattan,West Village,40.73712,-74.00166
Brooklyn,Bedford-Stuyvesant,40.69242,-73.95097
Manhattan,Chelsea,40.73862,-73.99758
Brooklyn,,40.7158,-73.95803
Brooklyn,Prospect Heights,40.68262,-73.97299
Manhattan,East Village,40.73217,-73.98801
Manhattan,Hell's Kitchen,40.76311,-73.99388
Manhattan,Chelsea,40.74695,-74.00454
Brooklyn,East New York,40.67497,-73.87305
Brooklyn,Crown Heights,40.66788,-73.94813
Manhattan,Upper East Side,40.76684,-73.95944
Brooklyn,Bedford-Stuyvesant,40.68967,-73.95445
Brooklyn,Prospect Heights,40.67946,-73.96501
Brooklyn,Park Slope,40.66944,-73.98083
Manhattan,East Village,40.72566,-73.97748
Manhattan,Hell's Kitchen,40.7709,-73.99181
Brooklyn,Williamsburg,40.71943,-73.95958
Queens,Sunnyside,40.74249,-73.92466
Manhattan,Chelsea,40.74033,-74.00024
Manhattan,Upper West Side,40.7969,-73.96128
Manhattan,Washington Heights,40.83403,-73.94553
Brooklyn,Prospect-Lefferts Gardens,40.65513,-73.95641
Brooklyn,Prospect-Lefferts Gardens,40.65589,-73.95539
Brooklyn,Williamsburg,40.70275,-73.94501
Brooklyn,Bedford-Stuyvesant,40.68897,-73.93569
Brooklyn,Park Slope,40.67617,-73.98136
Brooklyn,Park Slope,40.67595,-73.98053
Manhattan,Hell's Kitchen,40.76415,-73.99067
Manhattan,Harlem,40.83127,-73.94718
Brooklyn,Bedford-Stuyvesant,40.68497,-73.95592
Manhattan,Harlem,40.82922,-73.94174
Brooklyn,Williamsburg,40.71137,-73.94362
Manhattan,Upper East Side,40.76739,-73.9557
Manhattan,,40.73089,-73.98195
Brooklyn,Park Slope,40.6755,-73.97859
Brooklyn,Bedford-Stuyvesant,40.68812,-73.94934
Manhattan,Upper East Side,40.7694,-73.9572
Brooklyn,Clinton Hill,40.68634,-73.96161
Brooklyn,Williamsburg,40.7093,-73.9497
Manhattan,,40.713,-73.99752
Manhattan,Theater District,40.75895,-73.9883
Brooklyn,Bedford-Stuyvesant,40.68186,-73.94113
Brooklyn,Bushwick,40.68364,-73.91076
Brooklyn,Williamsburg,40.71893,-73.9428
Bronx,Concourse Village,40.82802,-73.92039
Brooklyn,Fort Greene,40.68765,-73.97073
Brooklyn,Williamsburg,40.71413,-73.96596
Brooklyn,Sheepshead Bay,40.58422,-73.94079
Brooklyn,Williamsburg,40.71973,-73.95582
Brooklyn,Bedford-Stuyvesant,40.69025,-73.93323
Queens,Sunnyside,40.73826,-73.92458
Brooklyn,Greenpoint,40.73049,-73.96115
Manhattan,East Village,40.72956,-73.97903
Manhattan,West Village,40.73854,-74.00821
Manhattan,Theater District,40.75877,-73.98863
Brooklyn,Gowanus,40.67688,-73.9859
Brooklyn,Bushwick,40.70051,-73.92204
Manhattan,Lower East Side,40.71712,-73.98898
Staten Island,Emerson Hill,40.60742,-74.14388
Brooklyn,Bedford-Stuyvesant,40.68741,-73.95741
Queens,Long Island City,40.75627,-73.9211
Manhattan,,40.79816,-73.9619
Brooklyn,Fort Hamilton,40.61927,-74.0307
Manhattan,Harlem,40.8078,-73.95208
Brooklyn,Bensonhurst,40.61922,-73.99399
Brooklyn,Clinton Hill,40.68275,-73.96148
