name,latitude,longitude,address_cleaned,category_group
"Levain Bakery – Original Location, 74th St, NYC",40.779913,-73.980304,"167 W 74th St (at Amsterdam Ave), New York, NY 10023",retail_&_shopping
Central Park Boathouse,40.775314,-73.968718,"E 72ND St (Park Dr N), New York, NY 10028",restaurants
Tavern On the Green,40.772193439565,-73.97761523723602,"W 67th St (at West Dr), New York, NY 10023",restaurants
As Is NYC,40.764721,-73.991482,"734 10th Ave (50th Street/10th Ave), New York, NY 10019",bars_&_clubs
Gallagher's Steak House,40.762761,-73.983915,"228 W 52nd St (btwn Broadway & 8th Ave), New York, NY 10019",restaurants
La Grande Boucherie,40.762681,-73.980898,"145 W 53rd St, New York, NY 10019",restaurants
Rise Bar,40.767221,-73.986624,"859 9th Ave, New York, NY 10019",bars_&_clubs
LumLum,40.762922,-73.989951,"404 W 49th St (9th Avenue), New York, NY 10019",restaurants
Carmine's,40.757504,-73.986768,"200 W 44th St (btwn Broadway & 8th Ave), New York, NY 10036",restaurants
Fogo de Chão,40.761144,-73.977867,"40 W 53rd St (at 5th Ave), New York, NY 10019",restaurants
Joe's Pizza,40.754692,-73.987007,"1435 Broadway (W 40th St), New York, NY 10018",restaurants
Haswell Green's,40.762913,-73.984315,"240 W 52nd St (Broadway), New York, NY 10019",restaurants
Junior's Restaurant & Bakery - 49th St,40.760926,-73.983931,"1626 Broadway (W 49th St), New York, NY 10019",restaurants
Chick-fil-A,40.757363,-73.982,"1180 Avenue of the Americas (at W 46th St), New York, NY 10036",restaurants
Ess-A-Bagel,40.756226,-73.970118,"831 3rd Ave (btwn 50th & 51st St.), New York, NY 10022",Other
Junior's,40.757839,-73.986344,"1515 Broadway (at W 45th St), New York, NY 10036",Other
Rudy's Bar & Grill,40.760014,-73.991715,"627 9th Ave (btwn W 44th & W 45th St), New York, NY 10036",bars_&_clubs
The Dickens,40.760937,-73.987514,"783 8th Ave (48th), New York, NY 10036",bars_&_clubs
Other Half Brewing,40.757673,-73.978518,"600 5th Ave (btwn W 48th & 49th St), New York, NY 10020",bars_&_clubs
Cafe Grumpy,40.752579,-73.977314,"89 E 42nd St (at Lexington Ave), New York, NY 10017",restaurants
Bemelmans Bar,40.774381,-73.963263,"35 E 76th St (at Madison Ave), New York, NY 10021",restaurants
The Jeffrey Craft Beer & Bites,40.761057,-73.963053,"311 E 60th St (btwn 1st & 2nd Ave), New York, NY 10022",entertainment_&_leisure
As Is NYC,40.764721,-73.991482,"734 10th Ave (50th Street/10th Ave), New York, NY 10019",bars_&_clubs
Tanner Smith's,40.764277,-73.981747,"204 W 55th St (btwn 7th Ave & Broadway), New York, NY 10019",bars_&_clubs
Rise Bar,40.767221,-73.986624,"859 9th Ave, New York, NY 10019",bars_&_clubs
Clay,40.809443,-73.95377,"553 Manhattan Ave (W 123rd Street), New York, NY 10027",bars_&_clubs
Treadwell Park,40.761434,-73.961058,"1125 1st Ave (E 62nd Street), New York, NY 10065",entertainment_&_leisure
Haswell Green's,40.762913,-73.984315,"240 W 52nd St (Broadway), New York, NY 10019",restaurants
Dutch Fred's,40.760875,-73.987817,"307 W 47th St (btwn 8th Ave & 9th Ave), New York, NY 10036",restaurants
Beer Culture,40.759673,-73.98966,"328 W 45th St (btwn 8th & 9th Ave), New York, NY 10036",bars_&_clubs
Rudy's Bar & Grill,40.760014,-73.991715,"627 9th Ave (btwn W 44th & W 45th St), New York, NY 10036",bars_&_clubs
The Dickens,40.760937,-73.987514,"783 8th Ave (48th), New York, NY 10036",bars_&_clubs
Other Half Brewing,40.757673,-73.978518,"600 5th Ave (btwn W 48th & 49th St), New York, NY 10020",bars_&_clubs
La Pecora Bianca Bryant Park,40.752534,-73.982991,"20 W 40th St (btwn 5th Ave & 6th Ave), New York, NY 10018",bars_&_clubs
Zou Zou's,40.752873,-73.99838,"385 9th Ave (31st St), New York, NY 10001",restaurants
Dolly Varden,40.762971,-73.986152,"302 W 51st St (btwn 8th and 9th Aves), New York, NY 10019",restaurants
Jimmy's Corner,40.75659,-73.984635,"140 W 44th St (btwn 6th & 7th Ave.), New York, NY 10036",bars_&_clubs
Gramercy Tavern,40.73846,-73.988371,"42 E 20th St (btwn Broadway & Park Ave), New York, NY 10003",bars_&_clubs
Dive Bar,40.794043,-73.970758,"732 Amsterdam Ave (btwn 95th & 96th St), New York, NY 10025",bars_&_clubs
Hotel Chelsea Lobby Bar,40.744337,-73.996777,"226 W 23rd St, New York, NY 10011",bars_&_clubs
Central Park,40.78272,-73.965614,"14 E 60th St (btwn 5th Ave & Central Park W), New York, NY 10022",parks_&_outdoor
Jacqueline Kennedy Onassis Reservoir,40.785516,-73.962646,"Central Park (btwn 85th & 96th St), New York, NY 10024",parks_&_outdoor
Metropolitan Museum of Art Store,40.779202,-73.96262,"1000 5th Ave (at E 82nd St), New York, NY 10028",cultural
The Obelisk,40.779663,-73.965522,"East Dr (at 81st St), New York, NY 10028",landmarks
Belvedere Castle,40.779356,-73.968919,"79TH St, New York, NY 10024",landmarks
The Ramble,40.744184,-74.006379,"79th St Transverse, New York, NY 10011",landmarks
Bethesda Fountain,40.774177,-73.970859,"72ND St (Central Park), New York, NY 10021",Other
Bethesda Terrace,40.773959,-73.970938,"72ND St (at Central Park), New York, NY 10021",Other
Engineers Gate,40.784109,-73.958745,"5TH Ave (at E 90th St), New York, NY 10128",landmarks
Alice in Wonderland Statue,40.774939,-73.966606,"E 74TH St (btwn E 75th & 76th St), New York, NY 10021",landmarks
Central Park Mall,40.772378,-73.971532,"New York, NY 10028",parks_&_outdoor
Riverside Park,40.809406,-73.967472,"New York, NY 10025",parks_&_outdoor
Central Park - W 69th St Entrance Garden,40.774386,-73.977116,"W 69TH St (Central Park West), New York, NY 10023",parks_&_outdoor
Central Park - Wien Walk,40.76599,-73.972245,"5th Ave (at E 61st St), New York, NY 10065",parks_&_outdoor
Diana Ross Playground,40.769697,-73.982876,"Central Park W (at 81st St), New York, NY 10024",parks_&_outdoor
Carl Schurz Park,40.775229,-73.943631,"599 E 86th St (at East End Ave), New York, NY 10028",parks_&_outdoor
Hudson Greenery 59th Entrance,40.77771420012256,-73.98937940597534,"Riverside Blvd (btwn W 65th & W 72nd St), New York, NY 10069",parks_&_outdoor
Carl Schurz Dog Run,40.773926,-73.943931,"E END AVE AND 86TH St (East River Promenade), New York, NY 10128",parks_&_outdoor
96th Street Playground,40.787594,-73.955601,"5TH Ave (at E 96th St), New York, NY 10128",parks_&_outdoor
Imagine Circle,40.775734,-73.975159,"Central Park, New York, NY 10023",Other
City Swiggers,40.777356,-73.950923,"320 E 86th St (btw. 1st Ave. & 2nd Ave.), New York, NY 10028",retail_&_shopping
Trader Joe's,40.790625,-73.969401,"670 Columbus Ave (93rd Street), New York, NY 10025",retail_&_shopping
Barnes & Noble,40.786218,-73.978715,"2289 Broadway (at W 82nd St), New York, NY 10024",Other
Target,40.77907,-73.955447,"150 E 86th St (3rd Ave), New York, NY 10028",retail_&_shopping
Agata & Valentina,40.772227,-73.952998,"1505 1st Ave (at 79th St), New York, NY 10075",retail_&_shopping
Fifth Avenue,40.7637325,-73.9727439,"5TH Ave (btwn E 58th & E 59th St), New York, NY 10021",retail_&_shopping
Trader Joe's,40.778615,-73.98222,"2073 Broadway (at W 72nd St), New York, NY 10023",retail_&_shopping
MoMA Design Store,40.761082,-73.97817,"44 W 53rd St (btwn 6th & 5th Ave.), New York, NY 10019",Other
Westerly Natural Market,40.765177,-73.984403,"911 8th Ave (at 54th St), New York, NY 10019",retail_&_shopping
Whole Foods Market,40.768514,-73.982742,"10 Columbus Cir (at W 58th St), New York, NY 10019",retail_&_shopping
Whole Foods Market,40.779785,-73.95294,"1551 3rd Ave (East 88th St.), New York, NY 10128",retail_&_shopping
Trader Joe's,40.759539,-73.961291,"405 E 59th St (1st and Sutton), New York, NY 10022",retail_&_shopping
UNIQLO,40.760381,-73.976133,"666 5th Ave (at W 53rd St), New York, NY 10103",retail_&_shopping
Nintendo World,40.75811,-73.97943,"10 Rockefeller Plz (btwn 5th & 6th Ave), New York, NY 10020",retail_&_shopping
Saks Fifth Avenue,40.758038,-73.976959,"611 5th Ave (btwn E 49th & E 50th St), New York, NY 10022",retail_&_shopping
Nike,40.759878,-73.976769,"650 5th Ave (at W 52nd St), New York, NY 10019",retail_&_shopping
Adidas,40.756001,-73.978496,"565 5th Ave (at E 46th St), New York, NY 10017",retail_&_shopping
Fairway Market,40.780791,-73.981781,"2131 Broadway (btwn W 74th & 75th St), New York, NY 10023",retail_&_shopping
MUJI,40.752478,-73.981067,"475 5th Ave (at E 41st St), New York, NY 10017",Other
Disney Store,40.758095,-73.984869,"1540 Broadway (btwn W 45th & 46th St), New York, NY 10036",retail_&_shopping
Kings Theatre,40.645974,-73.957429,"1027 Flatbush Ave (btwn Tilden Ave & Duryea Pl), Brooklyn, NY 11226",entertainment_&_leisure
Nethermead,40.660706,-73.968678,"Brooklyn, NY 11218",landmarks
Prospect Park,40.661865,-73.969682,"Prospect Park W/SW (Flatbush Ave), Brooklyn, NY 11215",parks_&_outdoor
Brooklyn Botanic Garden,40.666325,-73.96208,"990 Washington Avenue (btwn President St & Empire Blvd), Brooklyn, NY 11225",parks_&_outdoor
Villabate Alba,40.61603,-73.992947,"7001 18th Ave (at 70th St), Brooklyn, NY 11204",retail_&_shopping
Long Meadow,40.668798,-73.970431,"btwn East Dr & West Dr, Brooklyn, NY 11215",landmarks
Brooklyn Museum,40.67091,-73.9635,"200 Eastern Pkwy (at Washington Ave), Brooklyn, NY 11238",cultural
Villager,40.6718,-73.960998,"841 Classon Ave, Brooklyn, NY 11238",restaurants
Covenhoven,40.67527,-73.96026,"730 Classon Ave (btwn Prospect Pl & Park Pl), Brooklyn, NY 11238",bars_&_clubs
Grand Army Plaza,40.673487,-73.968433,"1 Grand Army Plz, Brooklyn, NY 11238",Other
Gold Star Beer Counter,40.675147,-73.96684,"176 Underhill Ave (Sterling Pl), Brooklyn, NY 11238",bars_&_clubs
Baba's Pierogies,40.676879,-73.986328,"295 3rd Ave (Carroll Street), Brooklyn, NY 11215",Other
Other Half Brewing Company,40.673897,-73.999105,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",bars_&_clubs
Greenlight Bookstore,40.686204,-73.97464,"686 Fulton St (at S Portland Ave), Brooklyn, NY 11217",Other
Miss Ada,40.689488,-73.972389,"184 Dekalb Ave (at Carlton Ave), Brooklyn, NY 11205",restaurants
BAM Harvey Theater,40.688305,-73.978691,"651 Fulton St (at Rockwell Pl), Brooklyn, NY 11217",cultural
Books Are Magic,40.684006,-73.992088,"225 Smith St (Butler St), Brooklyn, NY 11231",Other
Paisanos Butcher Shop,40.686301,-73.990957,"162 Smith St (btw Wyckoff & Bergen), Brooklyn, NY 11201",Other
Fort Greene Park,40.69177563832657,-73.97558212280273,"Washington Park (btwn Myrtle & DeKalb Ave), Brooklyn, NY 11201",parks_&_outdoor
Sahadi's,40.69017,-73.993421,"187 Atlantic Ave (btwn Clinton & Court St), Brooklyn, NY 11201",retail_&_shopping
Sunny's Bar,40.675623,-74.016835,"253 Conover St (at Beard St), Brooklyn, NY 11231",entertainment_&_leisure
Strong Rope Brewery,40.677299,-74.018646,"185 Van Dyke St, Brooklyn, NY 11231",bars_&_clubs
Pier 5 Soccer Fields,40.69338,-73.999569,"at Joralemon St, Brooklyn, NY 10004",parks_&_outdoor
Brooklyn Heights Promenade,40.697405,-73.997022,"Pierrepont Pl (btwn Remsen & Orange St), Brooklyn, NY 11201",parks_&_outdoor
Syndicated Bar Theater Kitchen,40.704897,-73.932955,"40 Bogart St (btwn Thames & Grattan), Brooklyn, NY 11206",cultural
Brooklyn Bridge Park Pebble Beach,40.704331,-73.990182,"Brooklyn, NY 11201",parks_&_outdoor
Grimm Artisanal Ales,40.714348,-73.936501,"990 Metropolitan Ave (btwn Catherine St & Morgan Ave), Brooklyn, NY 11211",bars_&_clubs
Ace's Pizza,40.715006,-73.958304,"637 Driggs Ave (btwn Metropolitan Ave & N 4th St), Brooklyn, NY 11211",restaurants
Domino Park,40.714812,-73.967506,"15 River St (btwn Grand & S 5th St), Brooklyn, NY 11249",parks_&_outdoor
Nitehawk Cinema,40.715971,-73.962531,"136 Metropolitan Ave (btwn Berry St & Wythe Ave), Brooklyn, NY 11249",entertainment_&_leisure
Gelateria Gentile,40.716151,-73.963848,"253 Wythe Ave (N 1st), Brooklyn, NY 11249",restaurants
Other Half Brewing Domino Park,40.715851,-73.966978,"34 S River St (at S 1st St), Brooklyn, NY 11249",bars_&_clubs
Four Five Six,40.719133,-73.943143,"199 Richardson St, Brooklyn, NY 11222",bars_&_clubs
Brooklyn Steel,40.719357,-73.938787,"319 Frost St (at Debevoise St), Brooklyn, NY 11222",cultural
Forma Pasta Factory,40.723708,-73.951568,"14 Bedford Ave (at Lorimer St), Brooklyn, NY 11222",restaurants
Goldie's,40.725659,-73.945139,"195 Nassau Ave (Humboldt St.), Brooklyn, NY 11222",restaurants
Transmitter Park,40.729988,-73.96076,"Greenpoint Ave (at West St), Brooklyn, NY 11222",parks_&_outdoor
Paulie Gee's,40.729615,-73.958562,"60 Greenpoint Ave (btwn Franklin & West St), Brooklyn, NY 11222",restaurants
Radio Bakery,40.73241,-73.954915,"135 India St (at Manhattan Ave), Brooklyn, NY 11222",retail_&_shopping
Archestratus Books & Foods,40.732834,-73.955194,"160 Huron St (at Manhattan Ave), Brooklyn, NY 11222",Other
The Blue Light Speak Cheesy,40.729786,-73.956211,"114 Greenpoint Ave (at Manhattan Ave), Brooklyn, NY 11222",restaurants
Bakeri,40.734443,-73.95757,"105 Freeman St (btwn Franklin & Manhattan Ave), Brooklyn, NY 11222",retail_&_shopping
Kings Theatre,40.645974,-73.957429,"1027 Flatbush Ave (btwn Tilden Ave & Duryea Pl), Brooklyn, NY 11226",entertainment_&_leisure
Sycamore Flower Shop + Bar,40.639713,-73.967362,"1118 Cortelyou Rd (btwn Stratford & Westminster Rd), Brooklyn, NY 11218",cultural
Brooklyn Museum,40.67091,-73.9635,"200 Eastern Pkwy (at Washington Ave), Brooklyn, NY 11238",cultural
Nitehawk Prospect Park,40.661592,-73.979786,"188 Prospect Park W (15th Street), Brooklyn, NY 11215",entertainment_&_leisure
Dyker Heights Christmas Lights,40.617309,-74.015168,"1158 83rd St, Brooklyn, NY 11228",Other
BAM Rose Cinemas,40.686607,-73.977665,"30 Lafayette Ave (btwn Ashland Pl & St. Felix St), Brooklyn, NY 11217",cultural
Public Records,40.682219,-73.986435,"233 Butler St (btw Bond & Nevins), Brooklyn, NY 11217",cultural
Brooklyn Children's Museum,40.674467,-73.943964,"145 Brooklyn Ave (Brower Park), New York, NY 11213",cultural
Brooklyn Academy of Music,40.686499,-73.977661,"30 Lafayette Ave (btwn Ashland Pl & Saint Felix St), Brooklyn, NY 11217",cultural
Prospect Park Zoo,40.665025,-73.964399,"450 Flatbush Ave (at Ocean Ave), Brooklyn, NY 11225",parks_&_outdoor
BAM Harvey Theater,40.688305,-73.978691,"651 Fulton St (at Rockwell Pl), Brooklyn, NY 11217",cultural
BAM Howard Gilman Opera House,40.686499,-73.977661,"30 Lafayette Ave (btwn Ashland Pl & St Felix St), Brooklyn, NY 11217",cultural
Littlefield,40.678582,-73.983371,"635 Sackett St (between 3rd & 4th Aves), Brooklyn, NY 11217",cultural
BRIC House,40.688616,-73.97914,"647 Fulton St (at Rockwell Place), Brooklyn, NY 11217",cultural
Salsa Salsa Dance Studio,40.682687,-73.979083,"55 4th Ave (at Bergen St.), Brooklyn, NY 11217",cultural
The Bell House,40.67372,-73.991728,"149 7th St (btwn 2nd & 3rd Ave), Brooklyn, NY 11215",bars_&_clubs
Union Hall,40.676084,-73.980046,"702 Union St (btwn 5th & 6th Ave), Brooklyn, NY 11215",entertainment_&_leisure
Alamo Drafthouse Downtown Brooklyn,40.690767,-73.983324,"445 Albee Sq (at Fulton St), Brooklyn, NY 11201",entertainment_&_leisure
Barclays Center,40.682681,-73.975332,"620 Atlantic Ave (at Flatbush Ave), Brooklyn, NY 11217",entertainment_&_leisure
Wonderville,40.692421,-73.927682,"1186 Broadway (Lafayette), Brooklyn, NY 11221",bars_&_clubs
Villager,40.6718,-73.960998,"841 Classon Ave, Brooklyn, NY 11238",restaurants
Gold Star Beer Counter,40.675147,-73.96684,"176 Underhill Ave (Sterling Pl), Brooklyn, NY 11238",bars_&_clubs
Daytime,40.65862,-73.9781,"199 Windsor Pl, Brooklyn, NY 11215",restaurants
La Bagel Delight,40.668582,-73.980407,"284 7th Ave (at 6th St), Brooklyn, NY 11215",restaurants
Leland Eating & Drinking House,40.679882,-73.965148,"755 Dean St (Dean St & Underhill Ave), Brooklyn, NY 11238",Other
Variety Coffee,40.66775,-73.98129,"312 7th Ave, Brooklyn, NY 11215",restaurants
The Royal Palms Shuffleboard Club,40.678538,-73.986989,"514 Union St (btwn 3rd Ave & Nevins St), Gowanus, NY 11215",restaurants
Other Half Brewing Company,40.673897,-73.999105,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",bars_&_clubs
Threes Brewing,40.679692,-73.982193,"333 Douglass St (at 4th Ave), Brooklyn, NY 11217",bars_&_clubs
Public Records,40.682219,-73.986435,"233 Butler St (btw Bond & Nevins), Brooklyn, NY 11217",cultural
Finback Brewery,40.67752,-73.984769,"545 President St, Brooklyn, NY 11215",bars_&_clubs
Beer Street South,40.680609,-73.968186,"550 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
The Bell House,40.67372,-73.991728,"149 7th St (btwn 2nd & 3rd Ave), Brooklyn, NY 11215",bars_&_clubs
The Rockwell Place,40.689047,-73.979156,"31 Rockwell Pl, Brooklyn, NY 11217",restaurants
Grand Army,40.6882,-73.986539,"336 State St (at Hoyt St), Brooklyn, NY 11217",restaurants
Black Forest Brooklyn,40.685653,-73.991019,"181 Smith St, Brooklyn, NY 11201",entertainment_&_leisure
Stumptown Coffee Roasters,40.68875,-73.9921,"212 Pacific St (Court St), Brooklyn, NY 11201",restaurants
Brooklyn Social,40.680491,-73.99448,"335 Smith St (at Carroll St), Brooklyn, NY 11231",restaurants
Sisters,40.6829,-73.965178,"900 Fulton St (btwn Washington & Waverly Ave), Brooklyn, NY 11238",restaurants
Strong Rope Brewery,40.677299,-74.018646,"185 Van Dyke St, Brooklyn, NY 11231",bars_&_clubs
Covenhoven,40.67527,-73.96026,"730 Classon Ave (btwn Prospect Pl & Park Pl), Brooklyn, NY 11238",bars_&_clubs
Gold Star Beer Counter,40.675147,-73.96684,"176 Underhill Ave (Sterling Pl), Brooklyn, NY 11238",bars_&_clubs
BierWax,40.680016,-73.968206,"556 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
Franklin Park,40.672373,-73.95775,"618 Saint Johns Pl (btwn Classon & Franklin Ave), Brooklyn, NY 11238",bars_&_clubs
The Royal Palms Shuffleboard Club,40.678538,-73.986989,"514 Union St (btwn 3rd Ave & Nevins St), Gowanus, NY 11215",restaurants
Other Half Brewing Company,40.673897,-73.999105,"195 Centre St (Smith & Court St), Brooklyn, NY 11231",bars_&_clubs
Threes Brewing,40.679692,-73.982193,"333 Douglass St (at 4th Ave), Brooklyn, NY 11217",bars_&_clubs
Public Records,40.682219,-73.986435,"233 Butler St (btw Bond & Nevins), Brooklyn, NY 11217",cultural
Finback Brewery,40.67752,-73.984769,"545 President St, Brooklyn, NY 11215",bars_&_clubs
Beer Street South,40.680609,-73.968186,"550 Vanderbilt Ave, Brooklyn, NY 11238",bars_&_clubs
The Bell House,40.67372,-73.991728,"149 7th St (btwn 2nd & 3rd Ave), Brooklyn, NY 11215",bars_&_clubs
LaRina Pastificio & Vino,40.69338,-73.970426,"387 Myrtle Ave (btwn Clermont & Vanderbilt Ave), Brooklyn, NY 11205",restaurants
Union Hall,40.676084,-73.980046,"702 Union St (btwn 5th & 6th Ave), Brooklyn, NY 11215",entertainment_&_leisure
The Rockwell Place,40.689047,-73.979156,"31 Rockwell Pl, Brooklyn, NY 11217",restaurants
Leyenda,40.684229,-73.991835,"221 Smith St (btwn Butler St & Baltic St), Brooklyn, NY 11201",restaurants
Grand Army,40.6882,-73.986539,"336 State St (at Hoyt St), Brooklyn, NY 11217",restaurants
Black Forest Brooklyn,40.685653,-73.991019,"181 Smith St, Brooklyn, NY 11201",entertainment_&_leisure
The Coyote Club,40.688595,-73.941757,"417 Throop Ave (at Lexington Ave), Brooklyn, NY 11221",restaurants
June,40.686113,-73.993916,"231 Court St (btwn Baltic & Warren St), Brooklyn, NY 11201",restaurants
Brooklyn Social,40.680491,-73.99448,"335 Smith St (at Carroll St), Brooklyn, NY 11231",restaurants
Prospect Park Parkside Entrance,40.655166,-73.962273,"Parkside Ave (at Ocean Ave), Brooklyn, NY 11226",parks_&_outdoor
Boathouse & Audubon Center,40.660798,-73.965281,"Hill Dr (at East Dr), Brooklyn, NY 11225",landmarks
